state	nces_id	school_name	metric	json_value	source_value	status	source_file	notes
OH	390160605963	Horizon Science Academy Columbus Primary School	accountability.rating	NR	NR	OK	oh_achievement_2023-24.csv	
OH	390160605963	Horizon Science Academy Columbus Primary School	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390160605963	Horizon Science Academy Columbus Primary School	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
IN	180009402487	Indiana Math and Science Academy North	assess.ela	19.8	19.8	OK	in_ilearn_ela_2023-24.csv	
IN	180009402487	Indiana Math and Science Academy North	assess.math	9.8	9.8	OK	in_ilearn_math_2023-24.csv	
IN	180006702416	Indiana Math and Science Academy West	assess.ela	49.4	49.4	OK	in_ilearn_ela_2023-24.csv	
IN	180006702416	Indiana Math and Science Academy West	assess.math	53.8	53.8	OK	in_ilearn_math_2023-24.csv	
IA	199902002316	Horizon Science Academy Des Moines	staff.teacher_fte	9.0	9.0	OK	ia_teacher_info_2023-24.csv	
IA	199902002316	Horizon Science Academy Des Moines	staff.novice	22.2	22.2	OK	ia_teacher_info_2023-24.csv	
MI	260096708048	Michigan Math and Science Academy Lorraine	assess.ela	20.0	20.0	OK	mi_mstep_grades_3-8_2023-24.csv	Weighted across grades
MI	260096708048	Michigan Math and Science Academy Lorraine	assess.math	20.0	20.0	OK	mi_mstep_grades_3-8_2023-24.csv	Weighted across grades
MI	260096708813	Michigan Math and Science Academy Dequindre	assess.ela	29.7	29.7	OK	mi_mstep_grades_3-8_2023-24.csv	Weighted across grades
MI	260096708813	Michigan Math and Science Academy Dequindre	assess.math	12.9	12.9	OK	mi_mstep_grades_3-8_2023-24.csv	Weighted across grades
